method,c1_ls,c2_ls,avg_f_eval,avg_cpu_sec,avg_iterations,success_rate,n_rows,n_problems,rank_within_method
BFGSW,0.05,0.5,320.0833333333333,1.2207287083333538,48.75,1.0,12,12,1
BFGSW,0.05,0.7,320.5833333333333,1.2003979166667402,51.083333333333336,1.0,12,12,2
BFGSW,0.05,0.8,321.25,1.2232422666666027,52.0,1.0,12,12,3
BFGSW,0.05,0.9,323.0,1.2084786000001864,52.666666666666664,1.0,12,12,4
BFGSW,0.05,0.99,323.25,1.2086597416669065,53.0,1.0,12,12,5
BFGSW,0.05,0.6,323.6666666666667,1.2110065999997157,51.833333333333336,1.0,12,12,6
BFGSW,0.05,0.2,325.3333333333333,1.2661858416669627,48.416666666666664,1.0,12,12,7
BFGSW,0.05,0.4,329.6666666666667,1.2292651000000963,48.25,1.0,12,12,8
BFGSW,0.05,0.3,330.75,1.1903226666663616,47.833333333333336,1.0,12,12,9
BFGSW,0.05,0.1,334.3333333333333,1.183673708333269,47.833333333333336,1.0,12,12,10
DFPW,0.01,0.3,190.58333333333334,0.32576926666646006,42.916666666666664,1.0,12,12,1
DFPW,0.005,0.3,190.58333333333334,0.329305266666779,42.916666666666664,1.0,12,12,2
DFPW,0.001,0.3,190.58333333333334,0.3311191999999512,42.916666666666664,1.0,12,12,3
DFPW,0.001,0.1,205.0,0.3300700416669618,44.416666666666664,1.0,12,12,4
DFPW,0.005,0.1,205.0,0.3301956499999505,44.416666666666664,1.0,12,12,5
DFPW,0.01,0.1,205.0,0.33279035833356824,44.416666666666664,1.0,12,12,6
DFPW,0.01,0.4,205.16666666666666,0.3282001250001182,47.916666666666664,1.0,12,12,7
DFPW,0.005,0.4,205.16666666666666,0.32927757499995397,47.916666666666664,1.0,12,12,8
DFPW,0.001,0.4,205.16666666666666,0.32993764166697775,47.916666666666664,1.0,12,12,9
DFPW,0.05,0.3,225.0,0.3944234416667313,44.333333333333336,1.0,12,12,10
GradientDescentW,0.05,0.7,2792.9166666666665,0.27163173333353063,309.6666666666667,1.0,12,12,1
GradientDescentW,0.05,0.2,2795.5,0.26607429166657914,307.6666666666667,1.0,12,12,2
GradientDescentW,0.05,0.1,2795.5,0.28370691666638465,307.6666666666667,1.0,12,12,3
GradientDescentW,0.05,0.3,2800.25,0.26908689999982016,311.0,1.0,12,12,4
GradientDescentW,0.05,0.6,2800.5,0.26947925000013123,312.5,1.0,12,12,5
GradientDescentW,0.005,0.7,2803.0,0.2706627333335139,310.5833333333333,1.0,12,12,6
GradientDescentW,0.005,0.2,2803.5833333333335,0.26582455833325486,308.4166666666667,1.0,12,12,7
GradientDescentW,0.005,0.1,2804.1666666666665,0.2646334750002097,308.4166666666667,1.0,12,12,8
GradientDescentW,0.01,0.7,2804.5,0.26623816666672906,310.5833333333333,1.0,12,12,9
GradientDescentW,0.05,0.5,2804.9166666666665,0.2719047500002792,312.5,1.0,12,12,10
NewtonW,0.05,0.5,14.5,0.006000400000175405,7.666666666666667,1.0,12,12,1
NewtonW,0.0001,0.5,15.083333333333334,0.006169425000280142,7.916666666666667,1.0,12,12,2
NewtonW,0.001,0.5,15.083333333333334,0.006179549999918241,7.916666666666667,1.0,12,12,3
NewtonW,1e-05,0.5,15.083333333333334,0.00627298333317106,7.916666666666667,1.0,12,12,4
NewtonW,0.01,0.5,15.083333333333334,0.006305708333456974,7.916666666666667,1.0,12,12,5
NewtonW,0.0005,0.5,15.083333333333334,0.006317066666573095,7.916666666666667,1.0,12,12,6
NewtonW,5e-05,0.5,15.083333333333334,0.006475491667060809,7.916666666666667,1.0,12,12,7
NewtonW,0.005,0.5,15.083333333333334,0.007058149999769097,7.916666666666667,1.0,12,12,8
NewtonW,0.0001,0.4,16.333333333333332,0.006097349999890831,8.0,1.0,12,12,9
NewtonW,0.05,0.4,16.333333333333332,0.006126641666469324,8.0,1.0,12,12,10
