problem,method,status,iterations,f_eval,g_eval,h_eval,cpu_sec,f_final,grad_inf,error
P1_quad_10_10,GradientDescent,ok,44,149,150,0,0.0013632089830935001,-71.42912991277136,3.1651001980548266e-05,
P1_quad_10_10,GradientDescentW,ok,44,149,150,0,0.0036174579872749746,-71.42912991277136,3.1651001980548266e-05,
P1_quad_10_10,Newton,ok,1,2,3,1,0.0003756660153158009,-71.4291299137742,1.0658141036401503e-14,
P1_quad_10_10,NewtonW,ok,1,2,3,1,5.7541998103260994e-05,-71.4291299137742,1.0658141036401503e-14,
P1_quad_10_10,TRNewtonCG,ok,5,6,7,5,0.0016338330460712314,-71.42912991377416,2.3092638912203256e-14,
P1_quad_10_10,TRSR1CG,ok,10,11,12,0,0.001650584046728909,-71.4291299137733,6.940808237043683e-07,
P1_quad_10_10,BFGS,ok,16,25,26,0,0.0002995000104419887,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,ok,16,25,26,0,0.0005674579879269004,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,DFP,ok,16,22,23,0,0.0006394169759005308,-71.42912991375594,5.549135250859649e-06,
P1_quad_10_10,DFPW,ok,16,22,23,0,0.000530624995008111,-71.42912991375594,5.549135250859649e-06,
P2_quad_10_1000,GradientDescent,ok,1000,9966,9967,0,0.0602056669886224,-13.634294364960482,0.41373963504377587,
P2_quad_10_1000,GradientDescentW,ok,1000,9966,9967,0,0.06501091702375561,-13.634294364960482,0.41373963504377587,
P2_quad_10_1000,Newton,ok,1,2,3,1,7.279199780896306e-05,-13.71207474730647,6.946665465079604e-13,
P2_quad_10_1000,NewtonW,ok,1,2,3,1,3.462500171735883e-05,-13.71207474730647,6.946665465079604e-13,
P2_quad_10_1000,TRNewtonCG,ok,5,6,7,5,0.0002542919828556478,-13.712074747306447,1.1502420238507227e-07,
P2_quad_10_1000,TRSR1CG,ok,14,15,13,0,0.0021179590257816017,-13.712074747306632,9.916384824393276e-09,
P2_quad_10_1000,BFGS,ok,15,59,60,0,0.0011392500018700957,-13.712074746965031,4.691194829398171e-05,
P2_quad_10_1000,BFGSW,ok,15,59,60,0,0.0009820829727686942,-13.712074746965031,4.691194829398171e-05,
P2_quad_10_1000,DFP,ok,15,53,54,0,0.0008566249744035304,-13.712074743404141,0.00016700938432467893,
P2_quad_10_1000,DFPW,ok,15,53,54,0,0.0009566250373609364,-13.712074743404141,0.00016700938432467893,
P3_quad_1000_10,GradientDescent,ok,43,145,146,0,1.0339708750252612,-6496.166773511437,6.186644085026671e-05,
P3_quad_1000_10,GradientDescentW,ok,43,145,146,0,0.7538575829821639,-6496.166773511437,6.186644085026671e-05,
P3_quad_1000_10,Newton,ok,1,2,3,1,0.26384133304236457,-6496.166773646791,1.8474111129762605e-13,
P3_quad_1000_10,NewtonW,ok,1,2,3,1,0.2766509590437636,-6496.166773646791,1.8474111129762605e-13,
P3_quad_1000_10,TRNewtonCG,ok,8,9,10,8,0.18488470796728507,-6496.166773643622,1.3679109507780396e-05,
P3_quad_1000_10,TRSR1CG,ok,25,26,27,0,1.0455083329579793,-6496.166773620545,5.93831087254415e-05,
P3_quad_1000_10,BFGS,ok,59,120,121,0,4.990433041006327,-6496.1667735922365,7.957645047262929e-05,
P3_quad_1000_10,BFGSW,ok,59,120,121,0,5.341099874989595,-6496.1667735922365,7.957645047262929e-05,
P3_quad_1000_10,DFP,ok,106,110,111,0,2.73799295903882,-6496.166773610634,7.140665464699936e-05,
P3_quad_1000_10,DFPW,ok,106,110,111,0,2.690705082961358,-6496.166773610634,7.140665464699936e-05,
P4_quad_1000_1000,GradientDescent,ok,1000,9963,9964,0,61.50342391699087,-2321.6660609140667,1.2406555677657907,
P4_quad_1000_1000,GradientDescentW,ok,1000,9963,9964,0,58.3394660410122,-2321.6660609140667,1.2406555677657907,
P4_quad_1000_1000,Newton,ok,1,2,3,1,0.2603758329642005,-2339.1972246795976,9.325873406851315e-12,
P4_quad_1000_1000,NewtonW,ok,1,2,3,1,0.2961054579936899,-2339.1972246795976,9.325873406851315e-12,
P4_quad_1000_1000,TRNewtonCG,ok,9,10,11,9,0.9213403330068104,-2339.197224679384,1.1732067279446312e-05,
P4_quad_1000_1000,TRSR1CG,ok,221,222,192,0,8.059366833011154,-2339.197221264053,0.0032620504569056408,
P4_quad_1000_1000,BFGS,ok,345,2696,2697,0,39.215194084041286,-2339.197196203799,0.004670979719039181,
P4_quad_1000_1000,BFGSW,ok,345,2696,2697,0,39.61023599997861,-2339.197196203799,0.004670979719039181,
P4_quad_1000_1000,DFP,ok,232,1182,1183,0,10.864346084010322,-2339.1971848868293,0.00488289751006743,
P4_quad_1000_1000,DFPW,ok,232,1182,1183,0,10.492223165987525,-2339.1971848868293,0.00488289751006743,
P5_quartic_1e-4,GradientDescent,ok,2,3,4,0,8.86659836396575e-05,1.600925598052903e-19,4.191681671900094e-10,
P5_quartic_1e-4,GradientDescentW,ok,2,3,4,0,3.716698847711086e-05,1.600925598052903e-19,4.191681671900094e-10,
P5_quartic_1e-4,Newton,ok,2,3,4,2,0.0001093330211006105,3.7789043869337164e-17,6.438156304952591e-09,
P5_quartic_1e-4,NewtonW,ok,2,3,4,2,6.499997107312083e-05,3.7789043869337164e-17,6.438156304952591e-09,
P5_quartic_1e-4,TRNewtonCG,ok,3,4,5,3,0.00010712502989917994,9.703346109171351e-27,8.472459929811937e-14,
P5_quartic_1e-4,TRSR1CG,ok,3,4,5,0,9.445898467674851e-05,3.361107469753339e-13,5.361924621998069e-07,
P5_quartic_1e-4,BFGS,ok,3,4,5,0,6.833299994468689e-05,1.1206803822645866e-19,3.812470911478171e-10,
P5_quartic_1e-4,BFGSW,ok,3,4,5,0,6.412499351426959e-05,1.1206803822645866e-19,3.812470911478171e-10,
P5_quartic_1e-4,DFP,ok,3,4,5,0,5.7500030379742384e-05,1.1035544219179154e-19,3.783170174412987e-10,
P5_quartic_1e-4,DFPW,ok,3,4,5,0,5.7917030062526464e-05,1.1035544219179154e-19,3.783170174412987e-10,
P6_quartic_1e4,GradientDescent,ok,5,73,74,0,0.0004183330456726253,0.0010306706149715364,0.21112423140024528,
P6_quartic_1e4,GradientDescentW,ok,5,73,74,0,0.0004371670074760914,0.0010306706149715364,0.21112423140024528,
P6_quartic_1e4,Newton,ok,12,13,14,12,0.000293583027087152,0.0007037872652871117,0.17463310155233994,
P6_quartic_1e4,NewtonW,ok,12,13,14,12,0.00029262498719617724,0.0007037872652871117,0.17463310155233994,
P6_quartic_1e4,TRNewtonCG,ok,12,13,14,12,0.0004837909946218133,0.0007037872652871014,0.17463310155233766,
P6_quartic_1e4,TRSR1CG,ok,27,28,26,0,0.0009602499776519835,0.0011098306484588621,0.29903035560497865,
P6_quartic_1e4,BFGS,ok,28,97,98,0,0.0008357090409845114,0.0012681602675701513,0.23108670274958254,
P6_quartic_1e4,BFGSW,ok,28,97,98,0,0.004191166954115033,0.0012681602675701513,0.23108670274958254,
P6_quartic_1e4,DFP,ok,18,86,87,0,0.0014732499839738011,0.0012711492343789473,0.30754844802711123,
P6_quartic_1e4,DFPW,ok,18,86,87,0,0.0028692500200122595,0.0012711492343789473,0.30754844802711123,
P7_rosenbrock_2,GradientDescent,ok,1000,9834,9835,0,0.06897754198871553,0.000748424735481543,0.05394473610345063,
P7_rosenbrock_2,GradientDescentW,ok,1000,9883,9884,0,0.11578624998219311,0.00033707979498187515,0.022537978838639186,
P7_rosenbrock_2,Newton,ok,20,28,29,20,0.0004742909804917872,8.51707498558393e-12,0.00010573560453160462,
P7_rosenbrock_2,NewtonW,ok,20,28,29,20,0.00043275003554299474,8.51707498558393e-12,0.00010573560453160462,
P7_rosenbrock_2,TRNewtonCG,ok,23,24,22,23,0.0006028750212863088,2.8966890908194226e-12,4.080248168219156e-06,
P7_rosenbrock_2,TRSR1CG,ok,109,110,81,0,0.002713666995987296,3.057243253569734e-12,1.0180334359283854e-05,
P7_rosenbrock_2,BFGS,ok,33,53,54,0,0.0006572079728357494,1.8660369396621836e-13,9.716910127212393e-06,
P7_rosenbrock_2,BFGSW,ok,33,53,54,0,0.0006734590278938413,1.8660369396621836e-13,9.716910127212393e-06,
P7_rosenbrock_2,DFP,ok,47,67,68,0,0.0007929999846965075,3.6995765737854414e-13,1.1675072242312012e-06,
P7_rosenbrock_2,DFPW,ok,35,57,58,0,0.0006634159944951534,1.2079167938669648e-13,7.967712012747714e-07,
P8_rosenbrock_100,GradientDescent,ok,42,462,463,0,0.04039454099256545,3.9866238544026027,0.00020582608404045438,
P8_rosenbrock_100,GradientDescentW,ok,42,462,463,0,0.03975970798637718,3.9866238544026027,0.00020582608404045438,
P8_rosenbrock_100,Newton,ok,4,5,6,4,0.0017599579878151417,3.9866238543009347,6.453247740623169e-07,
P8_rosenbrock_100,NewtonW,ok,4,5,6,4,0.0013781669549643993,3.9866238543009347,6.453247740623169e-07,
P8_rosenbrock_100,TRNewtonCG,ok,4,5,6,4,0.0013157919747754931,3.9866238543009347,9.115016201543006e-07,
P8_rosenbrock_100,TRSR1CG,ok,42,43,25,0,0.008822500007227063,3.986623854344482,0.00015102872358505458,
P8_rosenbrock_100,BFGS,ok,112,1012,1013,0,0.11004729202250019,3.986623854300937,4.772120920648604e-08,
P8_rosenbrock_100,BFGSW,ok,112,1012,1013,0,0.11388116597663611,3.986623854300937,4.772120920648604e-08,
P8_rosenbrock_100,DFP,ok,108,614,615,0,0.056330875027924776,3.986623854591845,0.0001652302747805322,
P8_rosenbrock_100,DFPW,ok,108,614,615,0,0.05874179198872298,3.986623854591845,0.0001652302747805322,
P9_datafit_2,GradientDescent,ok,530,2908,2909,0,0.014377749990671873,1.0069463050789388e-09,2.3745388380515652e-05,
P9_datafit_2,GradientDescentW,ok,530,2908,2909,0,0.014858875016216189,1.0069463050789388e-09,2.3745388380515652e-05,
P9_datafit_2,Newton,ok,8,16,17,8,0.0011772080324590206,3.3978924862586816e-15,5.0830672008758e-07,
P9_datafit_2,NewtonW,ok,8,16,17,8,0.0002947920002043247,3.3978924862586816e-15,5.0830672008758e-07,
P9_datafit_2,TRNewtonCG,ok,7,8,9,7,0.00023033400066196918,1.950864213864176e-16,3.692032113205604e-08,
P9_datafit_2,TRSR1CG,ok,19,20,18,0,0.0005560410209000111,3.1734887553214074e-13,2.0576668468248144e-06,
P9_datafit_2,BFGS,ok,14,23,24,0,0.00027795799542218447,3.802134376077239e-12,1.8406242304454743e-05,
P9_datafit_2,BFGSW,ok,14,23,24,0,0.00027362495893612504,3.802134376077239e-12,1.8406242304454743e-05,
P9_datafit_2,DFP,ok,21,30,31,0,0.00033249997068196535,3.7153153594884567e-10,1.7454467146901273e-05,
P9_datafit_2,DFPW,ok,21,30,31,0,0.0003447500057518482,3.7153153594884567e-10,1.7454467146901273e-05,
P10_exponential_10,GradientDescent,ok,27,42,43,0,0.0004724999889731407,-0.2055728089930578,2.7525462742983287e-06,
P10_exponential_10,GradientDescentW,ok,27,42,43,0,0.0004426250234246254,-0.2055728089930578,2.7525462742983287e-06,
P10_exponential_10,Newton,ok,13,31,32,13,0.0010726669570431113,-0.20557277724175013,1.8313501630430832e-06,
P10_exponential_10,NewtonW,ok,13,31,32,13,0.0005300000193528831,-0.20557277724175013,1.8313501630430832e-06,
P10_exponential_10,TRNewtonCG,ok,12,13,14,12,0.0007432500133290887,-0.20557277833424237,1.7838949536935527e-06,
P10_exponential_10,TRSR1CG,ok,17,18,19,0,0.0007380829774774611,-0.20557272882945557,3.667664259417095e-06,
P10_exponential_10,BFGS,ok,19,22,23,0,0.00039783300599083304,-0.205572805386996,3.1365970164509704e-06,
P10_exponential_10,BFGSW,ok,23,28,29,0,0.0004941250081174076,-0.20557280893889363,3.099263508055117e-07,
P10_exponential_10,DFP,ok,1000,1006,1007,0,0.012410915980581194,-0.20557266162067367,0.0003983101646580778,
P10_exponential_10,DFPW,ok,104,224,225,0,0.002615833014715463,-0.20557280893762198,6.494030743708912e-07,
P11_exponential_100,GradientDescent,ok,21,24,25,0,0.00026537501253187656,-0.2055728089957351,2.1655454220392834e-06,
P11_exponential_100,GradientDescentW,ok,18,23,24,0,0.000976958021055907,-0.20557280899403352,2.5542728557814698e-06,
P11_exponential_100,Newton,ok,13,31,32,13,0.004298707994166762,-0.20557245965841175,1.8313501630430832e-06,
P11_exponential_100,NewtonW,ok,13,31,32,13,0.0027282499941065907,-0.20557245965841175,1.8313501630430832e-06,
P11_exponential_100,TRNewtonCG,ok,13,14,15,13,0.0013567499700002372,-0.20557238933350308,2.1014152777095254e-06,
P11_exponential_100,TRSR1CG,ok,18,19,20,0,0.0036877919919788837,-0.2055724053677582,2.227399839516142e-06,
P11_exponential_100,BFGS,ok,10,14,15,0,0.0031527079991064966,-0.20557280899083802,4.644020501487489e-09,
P11_exponential_100,BFGSW,ok,6,14,15,0,0.001840667042415589,-0.20557280899072836,3.4399881199131954e-07,
P11_exponential_100,DFP,ok,10,14,15,0,0.0010606669820845127,-0.20557280899083535,4.671142916912174e-09,
P11_exponential_100,DFPW,ok,6,14,15,0,0.000808625016361475,-0.20557280899072863,3.3908226521051077e-07,
P12_genhumps_5,GradientDescent,ok,189,350,351,0,0.005075042019598186,9.282795543544181e-08,9.634726534763607e-05,
P12_genhumps_5,GradientDescentW,ok,218,502,503,0,0.007359208015259355,9.231658310184787e-08,9.608151908568874e-05,
P12_genhumps_5,Newton,ok,70,97,98,70,0.0038971249596215785,1.7434727483249927e-10,6.151437026851747e-06,
P12_genhumps_5,NewtonW,ok,39,75,76,39,0.002564583031926304,1.6840216578935353e-15,2.439101006032117e-08,
