problem,sample_id,c1_ls,c2_ls,z1,z2,status,iterations,f_eval,g_eval,cpu_sec,grad_inf,converged,J,J_star,rel_dev
P1_quad_10_10,0,0.11477407615665725,0.18683254436059996,0.8639858952000461,0.18620495426913825,ok,40,134,135,0.003242400001909118,3.0052820624626442e-05,True,134.0,127.0,0.05511811023622047
P1_quad_10_10,1,0.03842399328329742,0.11782987715523191,0.7628485592388077,0.11706400516556303,ok,41,138,139,0.00439850000111619,2.8175733275404014e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,2,0.08905964545365229,0.15406436836072424,0.84054185454008,0.15337111058188801,ok,38,127,128,0.004397999997308943,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,3,0.05921007662644788,0.11704411978857629,0.8028133015621622,0.11627667313484598,ok,41,138,139,0.004250600002706051,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,4,0.04792245942692081,0.07661782883745438,0.7832650761697528,0.07576936757259958,ok,41,138,139,0.003759400002309121,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,5,0.1294853913891082,0.13913263797049208,0.87513237370135,0.1384094568842606,ok,40,134,135,0.0031346000032499433,3.0052820624626442e-05,True,134.0,127.0,0.05511811023622047
P1_quad_10_10,6,0.08077247732389137,0.09823903315155698,0.8315148637816401,0.09743390095346391,ok,38,127,128,0.002455299996654503,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,7,0.04210760918908432,0.09298695778752024,0.7713095806410956,0.09217130038829684,ok,41,138,139,0.003041800002392847,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,8,0.10018595188410635,0.17033969601767143,0.851422082957635,0.16967905412592327,ok,38,127,128,0.002528199998778291,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,9,0.10320546647329418,0.11013627506208878,0.8541664870019919,0.10935498503215309,ok,38,127,128,0.004896600003121421,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,10,0.13032023666713824,0.17905592858331093,0.8757263519880752,0.17841275409149393,ok,40,134,135,0.003290100001322571,3.0052820624626442e-05,True,134.0,127.0,0.05511811023622047
P1_quad_10_10,11,0.17276892979400782,0.17502860071104384,0.9017860593148249,0.17437735542188762,ok,39,131,132,0.002550500001234468,3.339737806173915e-05,True,131.0,127.0,0.031496062992125984
P1_quad_10_10,12,0.07214772841756452,0.09228267053576941,0.8210783763793639,0.0914656017392479,ok,41,138,139,0.004586600000038743,2.8175733275404014e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,13,0.05824559287263865,0.06529767104930743,0.8012954044746715,0.06442652409750244,ok,41,138,139,0.002730599997448735,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,14,0.08102105926216685,0.11576172337658348,0.8317988651141968,0.11499170679016381,ok,38,127,128,0.002396699994278606,3.561390826567479e-05,True,127.0,127.0,0.0
P1_quad_10_10,15,0.1420184958608588,0.14593136290611985,0.8836712949492385,0.14522180651915817,ok,40,134,135,0.005266899999696761,3.005282062451542e-05,True,134.0,127.0,0.05511811023622047
P1_quad_10_10,16,0.04865847103486394,0.1619544700080721,0.7846737593215297,0.16127702405618446,ok,41,138,139,0.0029752999980701134,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,17,0.040097152540608555,0.04710012250896639,0.7667879406337731,0.046192507524014416,ok,41,138,139,0.00572459999966668,4.367857212450588e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,18,0.16643636256652447,0.16664388280118334,0.8983347865405039,0.1659758344701236,ok,41,138,139,0.0029826999962097034,2.8175733274515835e-05,True,138.0,127.0,0.08661417322834646
P1_quad_10_10,19,0.10376863753241672,0.16608109077623032,0.8546694511436055,0.1654119146054412,ok,38,127,128,0.006713100003253203,3.561390826567479e-05,True,127.0,127.0,0.0
