problem,c1_star,c2_star,J_star,radius,n_valid,n_failed,S_mean,S_median,S_std,S_max
P1_quad_10_10,0.05,0.5,2.0,0.1,100,0,0.0,0.0,0.0,0.0
P2_quad_10_1000,0.05,0.5,2.0,0.1,100,0,0.0,0.0,0.0,0.0
P3_quad_1000_10,0.05,0.5,2.0,0.1,100,0,0.0,0.0,0.0,0.0
P4_quad_1000_1000,0.05,0.5,2.0,0.1,100,0,0.0,0.0,0.0,0.0
P5_quartic_1e-4,0.05,0.5,3.0,0.1,100,0,0.0,0.0,0.0,0.0
P7_rosenbrock_2,0.05,0.5,26.0,0.1,100,0,0.013461538461538464,0.0,0.026989594817970655,0.07692307692307693
P8_rosenbrock_100,0.05,0.5,5.0,0.1,100,0,0.0,0.0,0.0,0.0
P9_datafit_2,0.05,0.5,16.0,0.1,100,0,0.0,0.0,0.0,0.0
P10_exponential_10,0.05,0.5,31.0,0.1,100,0,0.0,0.0,0.0,0.0
P11_exponential_100,0.05,0.5,31.0,0.1,100,0,0.0,0.0,0.0,0.0
P12_genhumps_5,0.05,0.5,41.0,0.1,100,0,0.622439024390244,0.12195121951219512,0.6859073383124369,1.6341463414634145
