method,c1_ls,c2_ls,success_rate,avg_iterations,avg_f_eval,avg_g_eval,avg_cpu_sec
BFGSW,1e-05,0.1,1.0,53.833333333333336,356.5,357.5,1.5023384083331923
BFGSW,1e-05,0.2,1.0,54.166666666666664,362.1666666666667,363.1666666666667,1.430367858333284
BFGSW,1e-05,0.3,1.0,54.083333333333336,351.25,352.25,1.4550682000002173
BFGSW,1e-05,0.4,1.0,54.416666666666664,350.25,351.25,1.69583216666706
BFGSW,1e-05,0.5,1.0,54.666666666666664,348.1666666666667,349.1666666666667,1.5887051249998574
BFGSW,1e-05,0.6,1.0,57.0,351.5833333333333,352.5833333333333,1.6085664749997097
BFGSW,1e-05,0.7,1.0,57.666666666666664,349.1666666666667,350.1666666666667,1.5580111666664986
BFGSW,1e-05,0.8,1.0,58.416666666666664,349.0833333333333,350.0833333333333,1.5550412000000808
BFGSW,1e-05,0.9,1.0,59.5,351.5,352.5,1.5820251916663135
BFGSW,1e-05,0.99,1.0,59.75,351.6666666666667,352.6666666666667,1.5744416333332083
BFGSW,5e-05,0.1,1.0,53.833333333333336,356.5,357.5,1.5852674750003644
BFGSW,5e-05,0.2,1.0,54.166666666666664,362.1666666666667,363.1666666666667,1.687796258333795
BFGSW,5e-05,0.3,1.0,54.083333333333336,351.25,352.25,1.572517125000104
BFGSW,5e-05,0.4,1.0,54.416666666666664,350.25,351.25,1.7269816166666108
BFGSW,5e-05,0.5,1.0,54.666666666666664,348.1666666666667,349.1666666666667,1.6045347333335183
BFGSW,5e-05,0.6,1.0,57.0,351.5833333333333,352.5833333333333,1.3560065000001487
BFGSW,5e-05,0.7,1.0,57.666666666666664,349.1666666666667,350.1666666666667,1.3575188250000185
BFGSW,5e-05,0.8,1.0,58.416666666666664,349.0833333333333,350.0833333333333,1.395395783333394
BFGSW,5e-05,0.9,1.0,59.5,351.5,352.5,1.3820777999996305
BFGSW,5e-05,0.99,1.0,59.75,351.6666666666667,352.6666666666667,1.3926958666669027
BFGSW,0.0001,0.1,1.0,53.75,356.3333333333333,357.3333333333333,1.3955863833328597
BFGSW,0.0001,0.2,1.0,54.0,362.25,363.25,1.40936777500004
BFGSW,0.0001,0.3,1.0,53.916666666666664,351.3333333333333,352.3333333333333,1.447119191666843
BFGSW,0.0001,0.4,1.0,54.25,350.3333333333333,351.3333333333333,1.4156519333338717
BFGSW,0.0001,0.5,1.0,54.5,348.25,349.25,1.3759449499998482
BFGSW,0.0001,0.6,1.0,56.833333333333336,351.6666666666667,352.6666666666667,1.3953696166668124
BFGSW,0.0001,0.7,1.0,57.5,349.25,350.25,1.3841303333333599
BFGSW,0.0001,0.8,1.0,58.333333333333336,349.25,350.25,1.4043730500002312
BFGSW,0.0001,0.9,1.0,59.25,351.5,352.5,1.3930861583335172
BFGSW,0.0001,0.99,1.0,59.5,351.6666666666667,352.6666666666667,1.4101663750000928
BFGSW,0.0005,0.1,1.0,53.75,356.3333333333333,357.3333333333333,1.4313363416667926
BFGSW,0.0005,0.2,1.0,54.0,362.25,363.25,1.376320341666542
BFGSW,0.0005,0.3,1.0,53.916666666666664,351.3333333333333,352.3333333333333,1.3598515333334642
BFGSW,0.0005,0.4,1.0,54.25,350.3333333333333,351.3333333333333,1.384016500000295
BFGSW,0.0005,0.5,1.0,54.5,348.25,349.25,1.3716575749998203
BFGSW,0.0005,0.6,1.0,56.833333333333336,351.6666666666667,352.6666666666667,1.388908258333231
BFGSW,0.0005,0.7,1.0,57.5,349.25,350.25,1.396875275000184
BFGSW,0.0005,0.8,1.0,58.333333333333336,349.25,350.25,1.396994416666833
BFGSW,0.0005,0.9,1.0,59.25,351.5,352.5,1.4024740333337224
BFGSW,0.0005,0.99,1.0,59.5,351.6666666666667,352.6666666666667,1.4480374666662403
BFGSW,0.001,0.1,1.0,52.916666666666664,353.0833333333333,354.0833333333333,1.3789678666666987
BFGSW,0.001,0.2,1.0,53.416666666666664,360.75,361.75,1.3832789833331844
BFGSW,0.001,0.3,1.0,53.166666666666664,349.5,350.5,1.3747257166664895
BFGSW,0.001,0.4,1.0,53.416666666666664,348.5,349.5,1.389993691667011
BFGSW,0.001,0.5,1.0,53.833333333333336,347.25,348.25,1.3812161416666033
BFGSW,0.001,0.6,1.0,56.166666666666664,350.6666666666667,351.6666666666667,1.3712983666664513
BFGSW,0.001,0.7,1.0,56.25,348.0833333333333,349.0833333333333,1.3830374083330146
BFGSW,0.001,0.8,1.0,57.083333333333336,348.25,349.25,1.3757614499998756
BFGSW,0.001,0.9,1.0,57.833333333333336,350.3333333333333,351.3333333333333,1.3710929083331393
BFGSW,0.001,0.99,1.0,58.083333333333336,350.5,351.5,1.380687591666477
