problem,method,c1_ls,c2_ls,status,iterations,f_eval,g_eval,h_eval,cpu_sec,f_final,grad_inf,error
P1_quad_10_10,GradientDescentW,1e-05,0.1,ok,44,149,150,0,0.002212699999290635,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,1e-05,0.2,ok,44,149,150,0,0.0011692000007315073,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,1e-05,0.3,ok,44,149,150,0,0.0010629999997036066,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,1e-05,0.4,ok,44,149,150,0,0.0012060000008204952,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,1e-05,0.5,ok,44,149,150,0,0.00123630000052799,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,1e-05,0.6,ok,44,149,150,0,0.001244600000063656,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,1e-05,0.7,ok,44,149,150,0,0.0012793999994755723,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,1e-05,0.8,ok,44,149,150,0,0.0012564999997266568,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,1e-05,0.9,ok,44,149,150,0,0.001337499999863212,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,1e-05,0.99,ok,44,149,150,0,0.0013335000003280584,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,5e-05,0.1,ok,44,149,150,0,0.001235899999301182,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,5e-05,0.2,ok,44,149,150,0,0.0011491000004753005,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,5e-05,0.3,ok,44,149,150,0,0.0011672999989968957,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,5e-05,0.4,ok,44,149,150,0,0.0011479999993753154,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,5e-05,0.5,ok,44,149,150,0,0.0012206999999762047,-71.42912991277134,3.1651001978660886e-05,
P1_quad_10_10,GradientDescentW,5e-05,0.6,ok,44,149,150,0,0.0012669999996433035,-71.42912991277134,3.1651001978660886e-05,
