problem,method,status,iterations,f_eval,g_eval,h_eval,cpu_sec,f_final,grad_inf,error
P1_quad_10_10,GradientDescent,ok,44,149,150,0,0.002341749961487949,-71.42912991277137,3.1651001981991556e-05,
P1_quad_10_10,GradientDescentW,ok,44,149,150,0,0.0008621669840067625,-71.42912991277137,3.1651001981991556e-05,
P1_quad_10_10,Newton,ok,1,2,3,1,0.0013832090189680457,-71.42912991377413,1.5987211554602254e-14,
P1_quad_10_10,NewtonW,ok,1,2,3,1,4.9958936870098114e-05,-71.42912991377413,1.5987211554602254e-14,
P1_quad_10_10,TRNewtonCG,ok,5,6,7,5,0.00041162490379065275,-71.42912991377416,8.881784197001252e-15,
P1_quad_10_10,TRSR1CG,ok,10,11,12,0,0.0008759578922763467,-71.42912991377393,3.540216777508931e-07,
P1_quad_10_10,BFGS,ok,16,25,26,0,0.000492249964736402,-71.42912991353407,1.9175286107397937e-05,
P1_quad_10_10,BFGSW,ok,16,25,26,0,0.0009489170042797923,-71.42912991353407,1.9175286107397937e-05,
P1_quad_10_10,DFP,ok,16,22,23,0,0.00029499991796910763,-71.4291299137559,5.549135249083292e-06,
P1_quad_10_10,DFPW,ok,16,22,23,0,0.0002917919773608446,-71.4291299137559,5.549135249083292e-06,
P2_quad_10_1000,GradientDescent,ok,1000,9966,9967,0,0.03642695804592222,-13.634294364960272,0.4137396350438878,
P2_quad_10_1000,GradientDescentW,ok,1000,9966,9967,0,0.03885845898184925,-13.634294364960272,0.4137396350438878,
P2_quad_10_1000,Newton,ok,1,2,3,1,6.800005212426186e-05,-13.712074747306467,6.781242234410456e-13,
P2_quad_10_1000,NewtonW,ok,1,2,3,1,3.254192415624857e-05,-13.712074747306467,6.781242234410456e-13,
P2_quad_10_1000,TRNewtonCG,ok,5,6,7,5,0.00020879192743450403,-13.712074747074627,0.00027625339308201546,
P2_quad_10_1000,TRSR1CG,ok,14,15,13,0,0.0008165420731529593,-13.712074747306525,3.343531673749567e-09,
P2_quad_10_1000,BFGS,ok,15,59,60,0,0.0004190410254523158,-13.712074746964927,4.691194829753442e-05,
P2_quad_10_1000,BFGSW,ok,15,59,60,0,0.0004080840153619647,-13.712074746964927,4.691194829753442e-05,
P2_quad_10_1000,DFP,ok,15,53,54,0,0.00034262496046721935,-13.712074743404022,0.00016700938415414868,
P2_quad_10_1000,DFPW,ok,15,53,54,0,0.00039087492041289806,-13.712074743404022,0.00016700938415414868,
P3_quad_1000_10,GradientDescent,ok,43,145,146,0,0.008616458042524755,-6496.166773511436,6.186644083605586e-05,
P3_quad_1000_10,GradientDescentW,ok,43,145,146,0,0.006046875030733645,-6496.166773511436,6.186644083605586e-05,
P3_quad_1000_10,Newton,ok,1,2,3,1,0.014734500087797642,-6496.166773646792,1.971756091734278e-13,
P3_quad_1000_10,NewtonW,ok,1,2,3,1,0.008398459060117602,-6496.166773646792,1.971756091734278e-13,
P3_quad_1000_10,TRNewtonCG,ok,8,9,10,8,0.007276499993167818,-6496.166773643621,1.3679109490016828e-05,
P3_quad_1000_10,TRSR1CG,ok,27,28,27,0,0.049024750012904406,-6496.1667736192185,6.787300991462075e-05,
P3_quad_1000_10,BFGS,ok,59,120,121,0,0.7004489579703659,-6496.166773592235,7.957645045841844e-05,
P3_quad_1000_10,BFGSW,ok,59,120,121,0,0.737008958007209,-6496.166773592235,7.957645045841844e-05,
P3_quad_1000_10,DFP,ok,106,110,111,0,0.21620358398649842,-6496.16677361063,7.140665462657125e-05,
P3_quad_1000_10,DFPW,ok,106,110,111,0,0.22175670799333602,-6496.16677361063,7.140665462657125e-05,
